"core-api-2022-06-09","all-2022.06.10-00:45:31.759"
"core-api-2022-06-10","all-2022.06.11-00:37:21.326"
"core-api-2022-06-11","all-2022.06.12-00:43:44.447"
"core-api-2022-06-12","all-2022.06.13-00:41:07.048"
"core-api-2022-06-13","all-2022.06.14-00:32:50.858"
"core-api-2022-06-14","all-2022.06.15-00:35:40.121"
"core-api-2022-06-15","all-2022.06.16-00:47:58.666"
"core-api-2022-06-16","all-2022.06.17-00:46:55.812"
"core-api-2022-06-17","all-2022.06.18-00:41:39.120"
"core-api-2022-06-18","all-2022.06.19-00:36:54.425"
"core-api-2022-06-19","all-2022.06.20-00:31:23.030"
"core-api-2022-06-20","all-2022.06.21-00:45:26.165"
"core-api-2022-06-21","all-2022.06.22-00:42:51.806"
"core-api-2022-06-22","all-2022.06.23-00:38:41.816"
"core-api-2022-06-23","all-2022.06.24-00:44:02.623"
"core-api-2022-06-24","all-2022.06.25-00:34:02.814"
"core-api-2022-06-25","all-2022.06.26-00:45:33.573"
"core-api-2022-06-26","all-2022.06.27-00:30:38.885"
"core-api-2022-06-27","all-2022.06.28-00:37:33.976"
"core-api-2022-06-28","all-2022.06.29-00:41:38.312"
